# Determined from WSA steel production, consumption, imports, and exports data; only includes trade between countries in different GCAM regions
GCAM_region,year,metric,value
China,1974,production,26.12
Colombia,1974,production,0.311
Central America and Caribbean,1974,production,0.24
Africa_Eastern,1974,production,0
European Free Trade Association,1974,production,1.505
India,1974,production,7.068
Indonesia,1974,production,0.08
Japan,1974,production,117.131
Southeast Asia,1974,production,4.139
Mexico,1974,production,5.13
Pakistan,1974,production,0
Russia,1974,production,77.38048651999999
South Africa,1974,production,5.839
South Korea,1974,production,1.947
Taiwan,1974,production,0.901
USA,1974,production,132.195
South America_Northern,1974,production,1.041
Europe_Non_EU,1975,production,3.761246222
Africa_Northern,1975,production,0.851
Africa_Southern,1975,production,0.5
Argentina,1975,production,2.208
Central Asia,1975,production,8.6474417271
Australia_NZ,1975,production,8.054
EU-15,1975,production,155.229
Middle East,1975,production,0.7010000000000001
South Asia,1975,production,0
Europe_Eastern,1975,production,52.08709081540001
Africa_Western,1975,production,0
South America_Southern,1975,production,0.955
Brazil,1975,production,8.387
EU-12,1975,production,45.846180257662
Canada,1975,production,13.025
China,1975,production,26.12
Colombia,1975,production,0.39
Central America and Caribbean,1975,production,0.3
Africa_Eastern,1975,production,0
European Free Trade Association,1975,production,1.311
India,1975,production,7.991
Indonesia,1975,production,0.1
Japan,1975,production,102.313
Southeast Asia,1975,production,3.838
Mexico,1975,production,5.272
Pakistan,1975,production,0
Russia,1975,production,80.29219719000001
South Africa,1975,production,6.831
South Korea,1975,production,1.994
Taiwan,1975,production,1.01
USA,1975,production,105.816
South America_Northern,1975,production,1.063
Europe_Non_EU,1976,production,3.913791673
Africa_Northern,1976,production,0.958
Africa_Southern,1976,production,0.5
Argentina,1976,production,2.41
Central Asia,1976,production,8.8603771404
Australia_NZ,1976,production,8.016
EU-15,1976,production,164.25
Middle East,1976,production,0.684
South Asia,1976,production,0
Europe_Eastern,1976,production,53.36968821419999
Africa_Western,1976,production,0
South America_Southern,1976,production,0.868
Brazil,1976,production,9.253
EU-12,1976,production,48.409224892337
Canada,1976,production,13.29
China,1976,production,21.12
Colombia,1976,production,0.37
Central America and Caribbean,1976,production,0.296
Africa_Eastern,1976,production,0
European Free Trade Association,1976,production,1.431
India,1976,production,9.364
Indonesia,1976,production,0.139
Japan,1976,production,107.399
Southeast Asia,1976,production,4.022
Mexico,1976,production,5.298
Pakistan,1976,production,0
Russia,1976,production,82.26931976000002
South Africa,1976,production,7.106
South Korea,1976,production,3.515
Taiwan,1976,production,1.628
USA,1976,production,116.12
South America_Northern,1976,production,0.936
Europe_Non_EU,1977,production,4.148004526999999
Africa_Northern,1977,production,1.167
Africa_Southern,1977,production,0.5
Argentina,1977,production,2.684
Central Asia,1977,production,8.9735755635
Australia_NZ,1977,production,7.556
EU-15,1977,production,155.705
Middle East,1977,production,1.948
South Asia,1977,production,0
Europe_Eastern,1977,production,54.0515287804
Africa_Western,1977,production,0
South America_Southern,1977,production,0.9570000000000001
Brazil,1977,production,11.253
EU-12,1977,production,51.770009367708
Canada,1977,production,12.631
China,1977,production,23.82
Colombia,1977,production,0.33
Central America and Caribbean,1977,production,0.302
Africa_Eastern,1977,production,0
European Free Trade Association,1977,production,1.3599999999999999
India,1977,production,10.009
Indonesia,1977,production,0.25
Japan,1977,production,102.405
Southeast Asia,1977,production,5.073
Mexico,1977,production,5.601
Pakistan,1977,production,0
Russia,1977,production,83.32037629
South Africa,1977,production,7.295
South Korea,1977,production,4.347
Taiwan,1977,production,1.77
USA,1977,production,113.7
South America_Northern,1977,production,0.803
Europe_Non_EU,1978,production,4.61140293
Africa_Northern,1978,production,1.3299999999999998
Africa_Southern,1978,production,0.7
Argentina,1978,production,2.782
Central Asia,1978,production,9.2661170029
Australia_NZ,1978,production,7.821
EU-15,1978,production,163.519
Middle East,1978,production,1.576
South Asia,1978,production,0
Europe_Eastern,1978,production,55.81362593149999
Africa_Western,1978,production,0
South America_Southern,1978,production,1.002
Brazil,1978,production,12.205
EU-12,1978,production,53.750689798261
Canada,1978,production,14.899
China,1978,production,31.900000000000002
Colombia,1978,production,0.39
Central America and Caribbean,1978,production,0.3
Africa_Eastern,1978,production,0
European Free Trade Association,1978,production,1.581
India,1978,production,10.099
Indonesia,1978,production,0.31
Japan,1978,production,102.105
Southeast Asia,1978,production,6.224
Mexico,1978,production,6.711
Pakistan,1978,production,0
Russia,1978,production,86.03664726
South Africa,1978,production,7.902
South Korea,1978,production,4.969
Taiwan,1978,production,3.432
USA,1978,production,124.313
South America_Northern,1978,production,0.86
Europe_Non_EU,1979,production,4.891
Africa_Northern,1979,production,1.5510000000000002
Africa_Southern,1979,production,0.74
Argentina,1979,production,3.199
Central Asia,1979,production,9.122
Australia_NZ,1979,production,8.347999999999999
EU-15,1979,production,173.134
Middle East,1979,production,2.1029999999999998
South Asia,1979,production,0.125
Europe_Eastern,1979,production,54.946999999999996
Africa_Western,1979,production,0.015
South America_Southern,1979,production,1.06
Brazil,1979,production,13.891
EU-12,1979,production,54.533
Canada,1979,production,16.054
China,1979,production,34.604
Colombia,1979,production,0.354
Central America and Caribbean,1979,production,0.42600000000000005
Africa_Eastern,1979,production,0
European Free Trade Association,1979,production,1.7770000000000001
India,1979,production,10.126
Indonesia,1979,production,0.182
Japan,1979,production,111.748
Southeast Asia,1979,production,6.737
Mexico,1979,production,7.117
Pakistan,1979,production,0
Russia,1979,production,84.702
South Africa,1979,production,8.876
South Korea,1979,production,7.61
Taiwan,1979,production,3.186
USA,1979,production,123.688
South America_Northern,1979,production,1.475
Europe_Non_EU,1980,production,5.101
Africa_Northern,1980,production,1.534
Africa_Southern,1980,production,0.805
Argentina,1980,production,2.687
Central Asia,1980,production,9.052
Australia_NZ,1980,production,7.819000000000001
EU-15,1980,production,160.692
Middle East,1980,production,1.296
South Asia,1980,production,0.131
Europe_Eastern,1980,production,54.522
Africa_Western,1980,production,0.02
South America_Southern,1980,production,1.186
Brazil,1980,production,15.337
EU-12,1980,production,55.141
Canada,1980,production,15.901
China,1980,production,37.241
Colombia,1980,production,0.42
Central America and Caribbean,1980,production,0.404
Africa_Eastern,1980,production,0
European Free Trade Association,1980,production,1.791
India,1980,production,9.514
Indonesia,1980,production,0.543
Japan,1980,production,111.395
Southeast Asia,1980,production,7.13
Mexico,1980,production,7.156
Pakistan,1980,production,0
Russia,1980,production,84.045
South Africa,1980,production,9.067
South Korea,1980,production,8.558
Taiwan,1980,production,3.417
USA,1980,production,101.456
South America_Northern,1980,production,1.975
Europe_Non_EU,1981,production,5.232
Africa_Northern,1981,production,1.7449999999999999
Africa_Southern,1981,production,0.691
Argentina,1981,production,2.526
Central Asia,1981,production,9.088000000000001
Australia_NZ,1981,production,7.856
EU-15,1981,production,158.182
Middle East,1981,production,1.3279999999999998
South Asia,1981,production,0.134
Europe_Eastern,1981,production,54.738
Africa_Western,1981,production,0.022
South America_Southern,1981,production,1.05
Brazil,1981,production,13.226
EU-12,1981,production,51.451
Canada,1981,production,14.811
China,1981,production,35.724
Colombia,1981,production,0.402
Central America and Caribbean,1981,production,0.435
Africa_Eastern,1981,production,0
European Free Trade Association,1981,production,1.782
India,1981,production,10.765
Indonesia,1981,production,0.621
Japan,1981,production,101.676
Southeast Asia,1981,production,6.623
Mexico,1981,production,7.663
Pakistan,1981,production,0.01
Russia,1981,production,84.378
South Africa,1981,production,9.005
South Korea,1981,production,10.753
Taiwan,1981,production,3.157
USA,1981,production,109.614
South America_Northern,1981,production,2.03
Europe_Non_EU,1982,production,5.893
Africa_Northern,1982,production,2.049
Africa_Southern,1982,production,0.538
Argentina,1982,production,2.913
Central Asia,1982,production,9.004
Australia_NZ,1982,production,6.623
EU-15,1982,production,142.83
Middle East,1982,production,1.332
South Asia,1982,production,0.078
Europe_Eastern,1982,production,54.235
Africa_Western,1982,production,0.09
South America_Southern,1982,production,0.8200000000000001
Brazil,1982,production,12.995
EU-12,1982,production,50.401
Canada,1982,production,11.871
China,1982,production,37.279999999999994
Colombia,1982,production,0.422
Central America and Caribbean,1982,production,0.34099999999999997
Africa_Eastern,1982,production,0
European Free Trade Association,1982,production,1.603
India,1982,production,10.997
Indonesia,1982,production,0.693
Japan,1982,production,99.548
Southeast Asia,1982,production,7.031
Mexico,1982,production,7.056
Pakistan,1982,production,0.02
Russia,1982,production,83.603
South Africa,1982,production,8.28
South Korea,1982,production,11.758
Taiwan,1982,production,4.152
USA,1982,production,67.656
South America_Northern,1982,production,2.226
Europe_Non_EU,1983,production,6.752
Africa_Northern,1983,production,2.092
Africa_Southern,1983,production,0.647
Argentina,1983,production,2.942
Central Asia,1983,production,9.332
Australia_NZ,1983,production,5.91
EU-15,1983,production,141.485
Middle East,1983,production,1.761
South Asia,1983,production,0.058
Europe_Eastern,1983,production,56.209
Africa_Western,1983,production,0.182
South America_Southern,1983,production,0.986
Brazil,1983,production,14.671
EU-12,1983,production,51.652
Canada,1983,production,12.832
China,1983,production,40.141
Colombia,1983,production,0.482
Central America and Caribbean,1983,production,0.436
Africa_Eastern,1983,production,0
European Free Trade Association,1983,production,1.7109999999999999
India,1983,production,10.237
Indonesia,1983,production,0.983
Japan,1983,production,97.179
Southeast Asia,1983,production,7.199
Mexico,1983,production,6.978
Pakistan,1983,production,0.12
Russia,1983,production,86.647
South Africa,1983,production,7.18
South Korea,1983,production,11.915
Taiwan,1983,production,5.03
USA,1983,production,76.762
South America_Northern,1983,production,2.367
Europe_Non_EU,1984,production,7.32
Africa_Northern,1984,production,2.174
Africa_Southern,1984,production,0.423
Argentina,1984,production,2.647
Central Asia,1984,production,9.437999999999999
Australia_NZ,1984,production,6.582
EU-15,1984,production,154.191
Middle East,1984,production,2.4659999999999997
South Asia,1984,production,0.088
Europe_Eastern,1984,production,56.844
Africa_Western,1984,production,0.229
South America_Southern,1984,production,1.088
Brazil,1984,production,18.386
EU-12,1984,production,53.835
Canada,1984,production,14.699
China,1984,production,43.595
Colombia,1984,production,0.507
Central America and Caribbean,1984,production,0.44
Africa_Eastern,1984,production,0
European Free Trade Association,1984,production,1.8940000000000001
India,1984,production,10.549
Indonesia,1984,production,1.171
Japan,1984,production,105.586
Southeast Asia,1984,production,7.843
Mexico,1984,production,7.482
Pakistan,1984,production,0.3
Russia,1984,production,87.624
South Africa,1984,production,7.732
South Korea,1984,production,13.034
Taiwan,1984,production,5.241
USA,1984,production,83.941
South America_Northern,1984,production,2.77
Europe_Non_EU,1985,production,8.026
Africa_Northern,1985,production,2.602
Africa_Southern,1985,production,0.731
Argentina,1985,production,2.946
Central Asia,1985,production,9.463
Australia_NZ,1985,production,6.836
EU-15,1985,production,155.506
Middle East,1985,production,2.789
South Asia,1985,production,0.122
Europe_Eastern,1985,production,56.998
Africa_Western,1985,production,0.321
South America_Southern,1985,production,1.113
Brazil,1985,production,20.456
EU-12,1985,production,52.996
Canada,1985,production,14.637
China,1985,production,46.913999999999994
Colombia,1985,production,0.53
Central America and Caribbean,1985,production,0.507
Africa_Eastern,1985,production,0
European Free Trade Association,1985,production,1.931
India,1985,production,11.936
Indonesia,1985,production,1.374
Japan,1985,production,105.279
Southeast Asia,1985,production,7.94
Mexico,1985,production,7.261
Pakistan,1985,production,0.75
Russia,1985,production,87.864
South Africa,1985,production,8.507
South Korea,1985,production,13.539
Taiwan,1985,production,5.306
USA,1985,production,80.068
South America_Northern,1985,production,3.06
Europe_Non_EU,1986,production,9.118
Africa_Northern,1986,production,2.594
Africa_Southern,1986,production,0.674
Argentina,1986,production,3.235
Central Asia,1986,production,9.823
Australia_NZ,1986,production,6.961
EU-15,1986,production,145.41
Middle East,1986,production,2.767
South Asia,1986,production,0.116
Europe_Eastern,1986,production,59.168
Africa_Western,1986,production,0.2
South America_Southern,1986,production,1.216
Brazil,1986,production,21.233
EU-12,1986,production,54.683
Canada,1986,production,14.081
China,1986,production,52.327999999999996
Colombia,1986,production,0.632
Central America and Caribbean,1986,production,0.538
Africa_Eastern,1986,production,0
European Free Trade Association,1986,production,1.911
India,1986,production,12.197
Indonesia,1986,production,1.729
Japan,1986,production,98.275
Southeast Asia,1986,production,8.09
Mexico,1986,production,7.175
Pakistan,1986,production,0.9
Russia,1986,production,91.207
South Africa,1986,production,8.895
South Korea,1986,production,14.555
Taiwan,1986,production,5.545
USA,1986,production,74.032
South America_Northern,1986,production,3.402
Europe_Non_EU,1987,production,10.126
Africa_Northern,1987,production,3.021
Africa_Southern,1987,production,0.597
Argentina,1987,production,3.61
Central Asia,1987,production,9.908
Australia_NZ,1987,production,6.5089999999999995
EU-15,1987,production,146.294
Middle East,1987,production,3.048
South Asia,1987,production,0.12
Europe_Eastern,1987,production,59.684
Africa_Western,1987,production,0.184
South America_Southern,1987,production,1.287
Brazil,1987,production,22.228
EU-12,1987,production,55.624
Canada,1987,production,14.737
China,1987,production,56.14
Colombia,1987,production,0.691
Central America and Caribbean,1987,production,0.532
Africa_Eastern,1987,production,0
European Free Trade Association,1987,production,1.717
India,1987,production,13.121
Indonesia,1987,production,2.059
Japan,1987,production,98.513
Southeast Asia,1987,production,8.536000000000001
Mexico,1987,production,7.571
Pakistan,1987,production,1
Russia,1987,production,92.002
South Africa,1987,production,8.991
South Korea,1987,production,16.782
Taiwan,1987,production,5.915
USA,1987,production,80.876
South America_Northern,1987,production,3.722
Europe_Non_EU,1988,production,11.224
Africa_Northern,1988,production,3.5869999999999997
Africa_Southern,1988,production,0.602
Argentina,1988,production,3.631
Central Asia,1988,production,9.977
Australia_NZ,1988,production,6.881
EU-15,1988,production,157.977
Middle East,1988,production,3.418
South Asia,1988,production,0.12
Europe_Eastern,1988,production,60.092
Africa_Western,1988,production,0.234
South America_Southern,1988,production,1.499
Brazil,1988,production,24.657
EU-12,1988,production,54.682
Canada,1988,production,15.194
China,1988,production,59.32
Colombia,1988,production,0.718
Central America and Caribbean,1988,production,0.5800000000000001
Africa_Eastern,1988,production,0
European Free Trade Association,1988,production,1.8980000000000001
India,1988,production,14.309
Indonesia,1988,production,1.85
Japan,1988,production,105.681
Southeast Asia,1988,production,8.64
Mexico,1988,production,7.794
Pakistan,1988,production,1.2
Russia,1988,production,92.633
South Africa,1988,production,8.838
South Korea,1988,production,19.118
Taiwan,1988,production,8.288
USA,1988,production,90.65
South America_Northern,1988,production,3.654
Europe_Non_EU,1989,production,11.38767
Africa_Northern,1989,production,3.3489999999999998
Africa_Southern,1989,production,0.592
Argentina,1989,production,3.909
Central Asia,1989,production,9.79601
Australia_NZ,1989,production,7.417000000000001
EU-15,1989,production,160.328
Middle East,1989,production,3.632
South Asia,1989,production,0.11599999999999999
Europe_Eastern,1989,production,59.00538
Africa_Western,1989,production,0.272
South America_Southern,1989,production,1.2790000000000001
Brazil,1989,production,25.055
EU-12,1989,production,52.63928
Canada,1989,production,15.458
China,1989,production,61.737
Colombia,1989,production,0.711
Central America and Caribbean,1989,production,0.758
Africa_Eastern,1989,production,0.049
European Free Trade Association,1989,production,1.742
India,1989,production,14.608
Indonesia,1989,production,2.383
Japan,1989,production,107.908
Southeast Asia,1989,production,9.774
Mexico,1989,production,7.852
Pakistan,1989,production,0.95
Russia,1989,production,90.95673
South Africa,1989,production,9.337
South Korea,1989,production,21.873
Taiwan,1989,production,9.047
USA,1989,production,88.852
South America_Northern,1989,production,3.196
Europe_Non_EU,1990,production,12.29086
Africa_Northern,1990,production,3.759
Africa_Southern,1990,production,0.595
Argentina,1990,production,3.636
Central Asia,1990,production,9.44968
Australia_NZ,1990,production,7.3950000000000005
EU-15,1990,production,153.972
Middle East,1990,production,4.065
South Asia,1990,production,0.12
Europe_Eastern,1990,production,56.919309999999996
Africa_Western,1990,production,0.275
South America_Southern,1990,production,1.1480000000000001
Brazil,1990,production,20.567
EU-12,1990,production,44.643069999999994
Canada,1990,production,12.281
China,1990,production,66.49900000000001
Colombia,1990,production,0.701
Central America and Caribbean,1990,production,0.708
Africa_Eastern,1990,production,0.05
European Free Trade Association,1990,production,1.488
India,1990,production,14.963
Indonesia,1990,production,2.892
Japan,1990,production,110.339
Southeast Asia,1990,production,10.001
Mexico,1990,production,8.734
Pakistan,1990,production,0.78
Russia,1990,production,87.74106
South Africa,1990,production,8.619
South Korea,1990,production,23.125
Taiwan,1990,production,9.748
USA,1990,production,89.726
South America_Northern,1990,production,3.233
Europe_Non_EU,1991,production,11.05734
Africa_Northern,1991,production,4.315
Africa_Southern,1991,production,0.591
Argentina,1991,production,2.991
Central Asia,1991,production,8.1282
Australia_NZ,1991,production,6.947
EU-15,1991,production,148.69299999999998
Middle East,1991,production,4.778
South Asia,1991,production,0.088
Europe_Eastern,1991,production,48.95947
Africa_Western,1991,production,0.307
South America_Southern,1991,production,1.3330000000000002
Brazil,1991,production,22.617
EU-12,1991,production,33.95504
Canada,1991,production,12.987
China,1991,production,71.15
Colombia,1991,production,0.652
Central America and Caribbean,1991,production,0.701
Africa_Eastern,1991,production,0.05
European Free Trade Association,1991,production,1.599
India,1991,production,17.1
Indonesia,1991,production,3.089
Japan,1991,production,109.649
Southeast Asia,1991,production,8.164
Mexico,1991,production,7.964
Pakistan,1991,production,0.87
Russia,1991,production,75.47097
South Africa,1991,production,9.358
South Korea,1991,production,26.001
Taiwan,1991,production,10.973
USA,1991,production,79.738
South America_Northern,1991,production,3.315
Europe_Non_EU,1992,production,11.564
Africa_Northern,1992,production,4.344
Africa_Southern,1992,production,0.557
Argentina,1992,production,2.7
Central Asia,1992,production,7.218999999999999
Australia_NZ,1992,production,7.561
EU-15,1992,production,143.769
Middle East,1992,production,5.5889999999999995
South Asia,1992,production,0.066
Europe_Eastern,1992,production,43.483
Africa_Western,1992,production,0.257
South America_Southern,1992,production,1.517
Brazil,1992,production,23.934
EU-12,1992,production,30.07
Canada,1992,production,13.933
China,1992,production,81.08500000000001
Colombia,1992,production,0.657
Central America and Caribbean,1992,production,0.773
Africa_Eastern,1992,production,0.05
European Free Trade Association,1992,production,1.684
India,1992,production,18.117
Indonesia,1992,production,2.949
Japan,1992,production,98.132
Southeast Asia,1992,production,7.701
Mexico,1992,production,8.459
Pakistan,1992,production,0.853
Russia,1992,production,67.029
South Africa,1992,production,9.061
South Korea,1992,production,28.055
Taiwan,1992,production,10.705
USA,1992,production,84.322
South America_Northern,1992,production,3.489
Europe_Non_EU,1993,production,11.93
Africa_Northern,1993,production,4.747
Africa_Southern,1993,production,0.23
Argentina,1993,production,2.886
Central Asia,1993,production,5.303
Australia_NZ,1993,production,8.706
EU-15,1993,production,144.183
Middle East,1993,production,6.875
South Asia,1993,production,0.062
Europe_Eastern,1993,production,34.159
Africa_Western,1993,production,0.247
South America_Southern,1993,production,1.626
Brazil,1993,production,25.207
EU-12,1993,production,30.427
Canada,1993,production,14.387
China,1993,production,89.68900000000001
Colombia,1993,production,0.687
Central America and Caribbean,1993,production,0.665
Africa_Eastern,1993,production,0.05
European Free Trade Association,1993,production,1.759
India,1993,production,18.155
Indonesia,1993,production,3.802
Japan,1993,production,99.623
Southeast Asia,1993,production,7.699
Mexico,1993,production,9.199
Pakistan,1993,production,0.992
Russia,1993,production,58.346
South Africa,1993,production,8.726
South Korea,1993,production,33.026
Taiwan,1993,production,11.97
USA,1993,production,88.793
South America_Northern,1993,production,3.392
Europe_Non_EU,1994,production,12.912
Africa_Northern,1994,production,4.494
Africa_Southern,1994,production,0.163
Argentina,1994,production,3.289
Central Asia,1994,production,3.514
Australia_NZ,1994,production,9.192
EU-15,1994,production,151.696
Middle East,1994,production,7.806
South Asia,1994,production,0.064
Europe_Eastern,1994,production,25.594
Africa_Western,1994,production,0.115
South America_Southern,1994,production,1.704
Brazil,1994,production,25.747
EU-12,1994,production,33.135
Canada,1994,production,13.897
China,1994,production,92.763
Colombia,1994,production,0.693
Central America and Caribbean,1994,production,0.786
Africa_Eastern,1994,production,0.05
European Free Trade Association,1994,production,1.554
India,1994,production,19.282
Indonesia,1994,production,3.22
Japan,1994,production,98.295
Southeast Asia,1994,production,6.436
Mexico,1994,production,10.26
Pakistan,1994,production,1
Russia,1994,production,48.812
South Africa,1994,production,8.525
South Korea,1994,production,33.745
Taiwan,1994,production,11.594
USA,1994,production,91.244
South America_Northern,1994,production,3.524
Europe_Non_EU,1995,production,13.465
Africa_Northern,1995,production,4.584
Africa_Southern,1995,production,0.22
Argentina,1995,production,3.581
Central Asia,1995,production,3.499
Australia_NZ,1995,production,9.302000000000001
EU-15,1995,production,155.801
Middle East,1995,production,8.133
South Asia,1995,production,0.066
Europe_Eastern,1995,production,23.716
Africa_Western,1995,production,0.096
South America_Southern,1995,production,1.696
Brazil,1995,production,25.076
EU-12,1995,production,34.864000000000004
Canada,1995,production,14.415
China,1995,production,95.51
Colombia,1995,production,0.714
Central America and Caribbean,1995,production,0.973
Africa_Eastern,1995,production,0.05
European Free Trade Association,1995,production,1.244
India,1995,production,22.003
Indonesia,1995,production,4.13
Japan,1995,production,101.64
Southeast Asia,1995,production,6.924
Mexico,1995,production,12.147
Pakistan,1995,production,0.95
Russia,1995,production,51.589
South Africa,1995,production,8.741
South Korea,1995,production,36.772
Taiwan,1995,production,11.605
USA,1995,production,95.191
South America_Northern,1995,production,3.568
Europe_Non_EU,1996,production,14.452
Africa_Northern,1996,production,4.324
Africa_Southern,1996,production,0.212
Argentina,1996,production,4.075
Central Asia,1996,production,3.762
Australia_NZ,1996,production,9.222999999999999
EU-15,1996,production,146.566
Middle East,1996,production,9.169
South Asia,1996,production,0.067
Europe_Eastern,1996,production,23.864
Africa_Western,1996,production,0.073
South America_Southern,1996,production,1.906
Brazil,1996,production,25.237
EU-12,1996,production,31.564
Canada,1996,production,14.735
China,1996,production,101.33699999999999
Colombia,1996,production,0.695
Central America and Caribbean,1996,production,1.009
Africa_Eastern,1996,production,0.05
European Free Trade Association,1996,production,1.2109999999999999
India,1996,production,23.753
Indonesia,1996,production,4.109
Japan,1996,production,98.801
Southeast Asia,1996,production,7.746
Mexico,1996,production,13.172
Pakistan,1996,production,0.9
Russia,1996,production,49.253
South Africa,1996,production,7.999
South Korea,1996,production,38.903
Taiwan,1996,production,12.35
USA,1996,production,95.535
South America_Northern,1996,production,3.956
Europe_Non_EU,1997,production,15.663
Africa_Northern,1997,production,4.213
Africa_Southern,1997,production,0.214
Argentina,1997,production,4.169
Central Asia,1997,production,4.396999999999999
Australia_NZ,1997,production,9.588999999999999
EU-15,1997,production,159.86599999999999
Middle East,1997,production,9.929
South Asia,1997,production,0.07
Europe_Eastern,1997,production,27.659000000000002
Africa_Western,1997,production,0.075
South America_Southern,1997,production,1.923
Brazil,1997,production,26.153
EU-12,1997,production,34.003
Canada,1997,production,15.553
China,1997,production,108.911
Colombia,1997,production,0.734
Central America and Caribbean,1997,production,1.205
Africa_Eastern,1997,production,0.05
European Free Trade Association,1997,production,1.374
India,1997,production,24.415
Indonesia,1997,production,3.816
Japan,1997,production,104.545
Southeast Asia,1997,production,7.365
Mexico,1997,production,14.218
Pakistan,1997,production,0.9
Russia,1997,production,48.502
South Africa,1997,production,8.311
South Korea,1997,production,42.554
Taiwan,1997,production,15.994
USA,1997,production,98.486
South America_Northern,1997,production,3.987
Europe_Non_EU,1998,production,15.38
Africa_Northern,1998,production,4.5200000000000005
Africa_Southern,1998,production,0.212
Argentina,1998,production,4.216
Central Asia,1998,production,3.533
Australia_NZ,1998,production,9.697000000000001
